lat,lon,wind_mw,solar_mw
46.0,4.0,0.0,0.0997
46.0,5.5,0.0,0.36
46.0,6.0,0.0,0.05
46.0,10.5,0.0,0.50589
46.0,11.0,0.0,0.13966
46.5,14.5,0.0,0.05
47.0,5.0,0.0,0.1539
47.0,6.0,0.0,0.05
47.0,8.0,0.0,0.57196
47.0,9.0,0.0,0.23420000000000002
47.0,9.5,0.0,0.06
47.0,10.0,0.0,0.09
47.0,11.0,0.0,0.3711
47.0,12.0,0.0,0.09
47.0,13.0,0.0,0.0366
47.5,7.5,0.0008,109.06242799999984
47.5,8.0,24.913300000000007,186.42365700000175
47.5,8.5,0.0,120.66893700000003
47.5,9.0,0.0028,143.97316100000123
47.5,9.5,0.003,248.16112300000148
47.5,10.0,1.51907,229.91427800000207
47.5,10.5,0.01075,286.0883730000015
47.5,11.0,0.0,128.61448400000018
47.5,11.5,0.0,67.19758299999988
47.5,12.0,0.0,41.85919199999991
47.5,12.5,0.0,10.226959999999996
47.5,13.0,0.0,32.78325899999993
47.5,14.0,0.0,0.035
48.0,5.0,0.0,0.09945
48.0,5.5,0.0,1.98
48.0,7.0,0.0,0.325
48.0,7.5,0.0008,272.7534210000013
48.0,8.0,130.0103,432.97994799999657
48.0,8.5,95.78259999999999,619.9945929999997
48.0,9.0,7.8153999999999995,725.0911400000015
48.0,9.5,122.85050000000004,804.1268909999968
48.0,10.0,9.4907,1085.5331679999877
48.0,10.5,68.4972,1102.796109999983
48.0,11.0,53.69383,851.7838749999974
48.0,11.5,33.775899999999986,870.2585579999933
48.0,12.0,12.187299999999997,692.8823739999967
48.0,12.5,16.38,773.0859299999963
48.0,13.0,0.0396,224.17793700000132
48.0,15.5,0.0,0.086
48.5,4.5,0.0,1.625
48.5,7.5,0.0,17.77721599999998
48.5,8.0,99.67840000000001,656.3698389999987
48.5,8.5,66.66680000000001,472.4381799999991
48.5,9.0,23.405799999999996,919.180234000004
48.5,9.5,141.65800000000004,865.7534249999919
48.5,10.0,244.23404299999996,1013.6702569999908
48.5,10.5,60.320199999999986,906.6655730000012
48.5,11.0,85.252,1321.7440199999726
48.5,11.5,55.386799999999994,1287.7832749999843
48.5,12.0,11.56239,1097.809196999986
48.5,12.5,6.0979,1278.6870509999794
48.5,13.0,0.6503,1220.2499489999877
48.5,13.5,0.03203999999999999,708.3254809999988
48.5,14.0,0.6074999999999999,25.459412999999973
49.0,5.0,0.0,0.6983999999999999
49.0,6.0,0.0,0.1
49.0,6.5,0.0,9.464512999999997
49.0,7.0,9.7606,138.7286049999997
49.0,7.5,54.54999999999998,157.45305900000102
49.0,8.0,87.28099999999999,359.0476530000006
49.0,8.5,89.50999999999999,973.1758889999946
49.0,9.0,4.866700000000002,1127.951159999983
49.0,9.5,50.717499999999994,830.2234510000037
49.0,10.0,448.0616000000003,829.1108110000042
49.0,10.5,180.37002500000003,818.1753029999973
49.0,11.0,195.93769000000003,835.8208459999996
49.0,11.5,151.56050000000005,1194.514169999996
49.0,12.0,37.57084999999999,1289.947286999977
49.0,12.5,12.1866,1069.8869089999937
49.0,13.0,0.0488,781.6769239999954
49.0,13.5,0.2111,188.25043300000084
49.0,14.0,0.0066,2.611181
49.0,15.0,0.0,0.031
49.0,16.0,0.0,0.04
49.5,6.5,246.60549999999984,273.16856300000205
49.5,7.0,546.9079,808.1802279999899
49.5,7.5,598.5085000000007,478.1359369999975
49.5,8.0,510.49500000000006,551.3987829999994
49.5,8.5,107.59979999999999,1164.370431999958
49.5,9.0,93.35649999999998,486.8081649999983
49.5,9.5,521.0348000000001,826.3316309999975
49.5,10.0,332.9766000000007,1014.1676729999989
49.5,10.5,156.30829999999997,843.5514169999944
49.5,11.0,80.6535,1044.3019459999748
49.5,11.5,157.0096,550.9364909999987
49.5,12.0,42.542500000000004,932.9320679999907
49.5,12.5,17.5755,426.3807160000025
49.5,13.0,0.0,46.64117499999995
50.0,6.0,70.95349999999995,190.063786
50.0,6.5,376.62460000000027,512.7390340000021
50.0,7.0,401.62400000000025,762.5134709999975
50.0,7.5,910.9419999999989,507.0825839999977
50.0,8.0,420.4021000000005,535.9424429999997
50.0,8.5,94.77799999999993,835.4815460000021
50.0,9.0,63.8977,863.6962870000036
50.0,9.5,90.43749999999997,376.9229529999991
50.0,10.0,293.94360000000006,844.7633219999954
50.0,10.5,113.45975000000003,1025.0962349999875
50.0,11.0,99.20500000000001,911.9805330000037
50.0,11.5,233.16698000000014,613.6648750000014
50.0,12.0,152.57530000000003,590.8272329999999
50.0,12.5,16.5838,85.31346399999997
50.0,13.0,0.0,0.756
50.0,15.0,0.0,0.8
50.5,6.0,23.1,30.68849799999993
50.5,6.5,727.5450000000003,302.301664000002
50.5,7.0,234.5694999999998,471.7569449999983
50.5,7.5,14.3114,583.6371760000012
50.5,8.0,288.8700000000004,561.6525009999998
50.5,8.5,189.44254999999998,499.6047369999998
50.5,9.0,383.8916000000008,308.84621800000036
50.5,9.5,423.8496000000004,532.2086060000015
50.5,10.0,25.7686,315.1706530000002
50.5,10.5,77.25100000000003,390.98668200000077
50.5,11.0,14.364199,361.227450999999
50.5,11.5,29.808100000000014,424.4492379999985
50.5,12.0,238.7434000000002,408.3750249999994
50.5,12.5,77.9844,339.78978399999835
50.5,13.0,19.4191,150.289474
50.5,13.5,64.301,23.924259999999975
50.5,14.0,0.0,1.5694
51.0,5.0,0.0,0.1375
51.0,6.0,423.03799999999995,455.00863499999394
51.0,6.5,1056.7425000000014,1046.4806659999776
51.0,7.0,46.97209999999998,1149.5338549999396
51.0,7.5,38.1,457.5241620000029
51.0,8.0,148.74599999999995,338.1925179999946
51.0,8.5,224.2186000000001,258.4934540000023
51.0,9.0,274.19467999999995,351.6142840000002
51.0,9.5,285.3145,403.6244570000002
51.0,10.0,229.87599999999975,303.0660089999991
51.0,10.5,517.0067000000001,476.7269259999979
51.0,11.0,349.67749999999995,418.8941029999978
51.0,11.5,334.93549,306.37300000000164
51.0,12.0,657.4036,534.784761000002
51.0,12.5,332.72239999999994,1058.0282250000153
51.0,13.0,278.7954999999999,655.0516319999941
51.0,13.5,203.27139999999983,482.80699399999384
51.0,14.0,67.42519999999999,288.142631999999
51.0,14.5,55.82850000000001,221.90816399999983
51.0,15.0,154.75350000000003,126.94454400000009
51.5,6.0,177.97999999999982,167.5751400000003
51.5,6.5,373.9248000000004,994.854667999987
51.5,7.0,219.86059999999992,1003.4309139999616
51.5,7.5,246.84399999999982,904.1396979999882
51.5,8.0,449.94950000000017,636.3487730000024
51.5,8.5,891.6065000000002,624.2976530000072
51.5,9.0,1827.967199999995,575.8369639999951
51.5,9.5,221.94349999999972,435.1529089999959
51.5,10.0,185.71350000000012,523.8863189999967
51.5,10.5,162.32630000000003,320.81056399999824
51.5,11.0,142.87299999999993,307.54375799999974
51.5,11.5,843.0269999999991,641.8306849999983
51.5,12.0,658.783300000001,1006.5824919999932
51.5,12.5,91.20673000000001,706.9023039999958
51.5,13.0,247.09300000000005,528.5112669999965
51.5,13.5,404.89700000000045,616.3523820000005
51.5,14.0,596.1361000000005,982.915777999997
51.5,14.5,204.85919999999996,574.7250420000006
51.5,15.0,18.900000000000002,75.77354300000005
52.0,4.0,0.0,0.034
52.0,5.0,5.56,0.0
52.0,6.0,6.390000000000001,99.6252939999999
52.0,6.5,118.46429999999998,234.67270100000113
52.0,7.0,1091.2193999999993,949.2932749999941
52.0,7.5,696.0100000000007,884.9081970000062
52.0,8.0,578.1085000000004,676.2764860000058
52.0,8.5,128.94899999999996,1079.6486009999735
52.0,9.0,557.9556200000003,534.4807329999994
52.0,9.5,379.1092000000004,281.2444380000004
52.0,10.0,360.1406,341.772167999995
52.0,10.5,735.9045000000017,307.4824219999995
52.0,11.0,491.4050000000004,498.614846999998
52.0,11.5,961.375,574.5940969999988
